id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,2019-05-21,0.38,2,355
2539,Clean & quiet apt home by the park,2787,John,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,2018-10-19,0.21,6,365
2539,Clean & quiet apt home by the park,2787,John,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,2018-10-19,0.21,6,365
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,2019-05-21,0.38,2,355
2539,Clean & quiet apt home by the park,2787,John,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,2018-10-19,0.21,6,365
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,2019-05-21,0.38,2,355
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",88209,Jason,Manhattan,NoHo,40.72773,-73.99134,Private room,130,2,115,2018-12-05,1.17,1,75
803778,Luxury Loft Noho New York City,4230317,Jenny,Manhattan,NoHo,40.72591,-73.99452,Entire home/apt,465,30,47,2019-05-31,0.67,1,277
1818411,HUGE 2bdrm LOFT in NOHO/East Vill!,9522475,Liam,Manhattan,NoHo,40.72569,-73.99227,Entire home/apt,455,30,93,2019-01-03,1.36,2,332
2201154,Prime E. Village at St. Marks Place,5081260,Eden,Manhattan,NoHo,40.7278,-73.99205,Private room,208,2,38,2019-06-18,0.60,1,313
6747685,Beautiful 1205 ft classic NoHo Loft,29769754,Tom,Manhattan,NoHo,40.7259,-73.9939,Entire home/apt,499,3,35,2019-05-27,0.72,1,223
8254674,NOHO ART LOFT ON LAFAYETTE. BEST LOCATION IN NYC,4910739,Max,Manhattan,NoHo,40.72847,-73.99302,Entire home/apt,700,2,31,2019-07-01,1.29,1,54
16847069,Prime SOHO Luxury penthouse Loft,62103724,Joe,Manhattan,NoHo,40.72569,-73.99519,Entire home/apt,399,3,51,2019-06-17,1.76,1,336
19376872,Sun Filled 18ft Ceiling Duplex Noho/East Village,7107479,Genevieve,Manhattan,NoHo,40.7291,-73.99246,Entire home/apt,191,2,37,2019-05-19,1.50,1,5
20016493,"ART LOFT/HOME:  DINNERS, GATHERINGS, PHOTO",142118455,Allan,Manhattan,NoHo,40.7256,-73.99487,Entire home/apt,1795,1,38,2019-06-21,1.65,1,116
21783251,Separate 2 Bedroom Apartment located inside Loft.,158725307,Greg,Manhattan,NoHo,40.72909,-73.99125,Entire home/apt,200,2,81,2019-06-21,4.24,2,194
22753775,Artist Loft.Good Energy.Big Space With Fire Place!,168044240,Mari,Manhattan,NoHo,40.7275,-73.99168,Entire home/apt,265,2,42,2019-06-07,2.45,1,70
